Tahun;Periode;Jenis;Jumlah
2018;Januari;Honda;345957
2018;Februari;Honda;339152
2018;Maret;Honda;384187
2018;April;Honda;458499
2018;Mei;Honda;436727
2018;Juni;Honda;271206
2018;Juli;Honda;450622
2018;Agustus;Honda;443694
2018;September;Honda;406841
2018;Oktober;Honda;456582
2018;November;Honda;440659
2018;Desember;Honda;325076
2018;Januari;Yamaha;122989
2018;Februari;Yamaha;85429
2018;Maret;Yamaha;133126
2018;April;Yamaha;113182
2018;Mei;Yamaha;140068
2018;Juni;Yamaha;96150
2018;Juli;Yamaha;127101
2018;Agustus;Yamaha;108896
2018;September;Yamaha;134419
2018;Oktober;Yamaha;138012
2018;November;Yamaha;140683
2018;Desember;Yamaha;115033
2018;Januari;Suzuki;6051
2018;Februari;Suzuki;4500
2018;Maret;Suzuki;4077
2018;April;Suzuki;6954
2018;Mei;Suzuki;7663
2018;Juni;Suzuki;5357
2018;Juli;Suzuki;8639
2018;Agustus;Suzuki;8355
2018;September;Suzuki;9371
2018;Oktober;Suzuki;10489
2018;November;Suzuki;10002
2018;Desember;Suzuki;8050
2018;Januari;Kawasaki;7509
2018;Februari;Kawasaki;10456
2018;Maret;Kawasaki;13969
2018;April;Kawasaki;2282
2018;Mei;Kawasaki;4828
2018;Juni;Kawasaki;2302
2018;Juli;Kawasaki;7366
2018;Agustus;Kawasaki;7016
2018;September;Kawasaki;7036
2018;Oktober;Kawasaki;5212
2018;November;Kawasaki;6003
2018;Desember;Kawasaki;5003
2018;Januari;TVS;31
2018;Februari;TVS;49
2018;Maret;TVS;12
2018;April;TVS;4
2018;Mei;TVS;18
2018;Juni;TVS;19
2018;Juli;TVS;21
2018;Agustus;TVS;95
2018;September;TVS;25
2018;Oktober;TVS;27
2018;November;TVS;17
2018;Desember;TVS;19
