Tahun;Periode;Jenis;Jumlah
2014;Januari;Honda;366797
2014;Februari;Honda;423950
2014;Maret;Honda;463070
2014;April;Honda;445420
2014;Mei;Honda;452353
2014;Juni;Honda;471585
2014;Juli;Honda;327364
2014;Agustus;Honda;388073
2014;September;Honda;459309
2014;Oktober;Honda;452508
2014;November;Honda;425409
2014;Desember;Honda;375814
2014;Januari;Yamaha;173502
2014;Februari;Yamaha;214532
2014;Maret;Yamaha;226897
2014;April;Yamaha;242330
2014;Mei;Yamaha;237586
2014;Juni;Yamaha;235120
2014;Juli;Yamaha;172377
2014;Agustus;Yamaha;182829
2014;September;Yamaha;209767
2014;Oktober;Yamaha;190618
2014;November;Yamaha;130200
2014;Desember;Yamaha;158044
2014;Januari;Suzuki;30012
2014;Februari;Suzuki;27900
2014;Maret;Suzuki;25160
2014;April;Suzuki;23019
2014;Mei;Suzuki;32997
2014;Juni;Suzuki;27278
2014;Juli;Suzuki;20921
2014;Agustus;Suzuki;20143
2014;September;Suzuki;21172
2014;Oktober;Suzuki;17195
2014;November;Suzuki;17909
2014;Desember;Suzuki;11361
2014;Januari;Kawasaki;8188
2014;Februari;Kawasaki;12226
2014;Maret;Kawasaki;10127
2014;April;Kawasaki;16241
2014;Mei;Kawasaki;15762
2014;Juni;Kawasaki;15759
2014;Juli;Kawasaki;12709
2014;Agustus;Kawasaki;16733
2014;September;Kawasaki;16131
2014;Oktober;Kawasaki;14514
2014;November;Kawasaki;11236
2014;Desember;Kawasaki;10745
2014;Januari;TVS;862
2014;Februari;TVS;478
2014;Maret;TVS;375
2014;April;TVS;780
2014;Mei;TVS;813
2014;Juni;TVS;1087
2014;Juli;TVS;1119
2014;Agustus;TVS;1420
2014;September;TVS;559
2014;Oktober;TVS;817
2014;November;TVS;849
2014;Desember;TVS;416
2015;Januari;Honda;339850
2015;Februari;Honda;376973
2015;Maret;Honda;376571
2015;April;Honda;371001
2015;Mei;Honda;304900
2015;Juni;Honda;361767
2015;Juli;Honda;278754
2015;Agustus;Honda;430953
2015;September;Honda;425458
2015;Oktober;Honda;453944
2015;November;Honda;394726
2015;Desember;Honda;338991
2015;Januari;Yamaha;140243
2015;Februari;Yamaha;150840
2015;Maret;Yamaha;145609
2015;April;Yamaha;139978
2015;Mei;Yamaha;150745
2015;Juni;Yamaha;191965
2015;Juli;Yamaha;124875
2015;Agustus;Yamaha;169277
2015;September;Yamaha;158101
2015;Oktober;Yamaha;131463
2015;November;Yamaha;125472
2015;Desember;Yamaha;170062
2015;Januari;Suzuki;11389
2015;Februari;Suzuki;11010
2015;Maret;Suzuki;9009
2015;April;Suzuki;8604
2015;Mei;Suzuki;7355
2015;Juni;Suzuki;12097
2015;Juli;Suzuki;10234
2015;Agustus;Suzuki;10155
2015;September;Suzuki;9050
2015;Oktober;Suzuki;7242
2015;November;Suzuki;7600
2015;Desember;Suzuki;6137
2015;Januari;Kawasaki;10782
2015;Februari;Kawasaki;16968
2015;Maret;Kawasaki;14736
2015;April;Kawasaki;5089
2015;Mei;Kawasaki;6330
2015;Juni;Kawasaki;8636
2015;Juli;Kawasaki;7706
2015;Agustus;Kawasaki;11518
2015;September;Kawasaki;10251
2015;Oktober;Kawasaki;10105
2015;November;Kawasaki;7804
2015;Desember;Kawasaki;5083
2015;Januari;TVS;519
2015;Februari;TVS;300
2015;Maret;TVS;244
2015;April;TVS;103
2015;Mei;TVS;300
2015;Juni;TVS;249
2015;Juli;TVS;269
2015;Agustus;TVS;186
2015;September;TVS;242
2015;Oktober;TVS;128
2015;November;TVS;80
2015;Desember;TVS;127
2016;Januari;Honda;287776
2016;Februari;Honda;362668
2016;Maret;Honda;440171
2016;April;Honda;348626
2016;Mei;Honda;339128
2016;Juni;Honda;380019
2016;Juli;Honda;203659
2016;Agustus;Honda;388847
2016;September;Honda;423256
2016;Oktober;Honda;446611
2016;November;Honda;450331
2016;Desember;Honda;309796
2016;Januari;Yamaha;112124
2016;Februari;Yamaha;139235
2016;Maret;Yamaha;108416
2016;April;Yamaha;120158
2016;Mei;Yamaha;112145
2016;Juni;Yamaha;127224
2016;Juli;Yamaha;91015
2016;Agustus;Yamaha;123972
2016;September;Yamaha;119717
2016;Oktober;Yamaha;114493
2016;November;Yamaha;107501
2016;Desember;Yamaha;118078
2016;Januari;Suzuki;5587
2016;Februari;Suzuki;11721
2016;Maret;Suzuki;5085
2016;April;Suzuki;1833
2016;Mei;Suzuki;3109
2016;Juni;Suzuki;3780
2016;Juli;Suzuki;3800
2016;Agustus;Suzuki;6445
2016;September;Suzuki;4628
2016;Oktober;Suzuki;2469
2016;November;Suzuki;4857
2016;Desember;Suzuki;3510
2016;Januari;Kawasaki;10681
2016;Februari;Kawasaki;11081
2016;Maret;Kawasaki;9482
2016;April;Kawasaki;7190
2016;Mei;Kawasaki;6909
2016;Juni;Kawasaki;7708
2016;Juli;Kawasaki;6584
2016;Agustus;Kawasaki;8085
2016;September;Kawasaki;8036
2016;Oktober;Kawasaki;7500
2016;November;Kawasaki;8104
2016;Desember;Kawasaki;6262
2016;Januari;TVS;95
2016;Februari;TVS;159
2016;Maret;TVS;187
2016;April;TVS;229
2016;Mei;TVS;215
2016;Juni;TVS;147
2016;Juli;TVS;95
2016;Agustus;TVS;187
2016;September;TVS;183
2016;Oktober;TVS;128
2016;November;TVS;130
2016;Desember;TVS;118
2017;Januari;Honda;368739
2017;Februari;Honda;345921
2017;Maret;Honda;358524
2017;April;Honda;274155
2017;Mei;Honda;394751
2017;Juni;Honda;263854
2017;Juli;Honda;403487
2017;Agustus;Honda;418931
2017;September;Honda;408116
2017;Oktober;Honda;436974
2017;November;Honda;430487
2017;Desember;Honda;281949
2017;Januari;Yamaha;94117
2017;Februari;Yamaha;93511
2017;Maret;Yamaha;98040
2017;April;Yamaha;101908
2017;Mei;Yamaha;122186
2017;Juni;Yamaha;105133
2017;Juli;Yamaha;120608
2017;Agustus;Yamaha;123620
